Country,Region
Afghanistan,ASIA (EX. NEAR EAST)
Albania,EASTERN EUROPE
Algeria,NORTHERN AFRICA
American Samoa,OCEANIA
Andorra,WESTERN EUROPE
Angola,SUB-SAHARAN AFRICA
Anguilla,LATIN AMER. and CARIB
Antigua and Barbuda,LATIN AMER. and CARIB
Argentina,LATIN AMER. and CARIB
Armenia,C.W. OF IND. STATES
Aruba,LATIN AMER. and CARIB
Australia,OCEANIA
Austria,WESTERN EUROPE
Azerbaijan,C.W. OF IND. STATES
"Bahamas, The",LATIN AMER. and CARIB
Bahrain,NEAR EAST
Bangladesh,ASIA (EX. NEAR EAST)
Barbados,LATIN AMER. and CARIB
Belarus,C.W. OF IND. STATES
Belgium,WESTERN EUROPE
Belize,LATIN AMER. and CARIB
Benin,SUB-SAHARAN AFRICA
Bermuda,NORTHERN AMERICA
Bhutan,ASIA (EX. NEAR EAST)
Bolivia,LATIN AMER. and CARIB
Bosnia and Herzegovina,EASTERN EUROPE
Botswana,SUB-SAHARAN AFRICA
Brazil,LATIN AMER. and CARIB
British Virgin Is.,LATIN AMER. and CARIB
Brunei,ASIA (EX. NEAR EAST)
Bulgaria,EASTERN EUROPE
Burkina Faso,SUB-SAHARAN AFRICA
Burma,ASIA (EX. NEAR EAST)
Burundi,SUB-SAHARAN AFRICA
Cambodia,ASIA (EX. NEAR EAST)
Cameroon,SUB-SAHARAN AFRICA
Canada,NORTHERN AMERICA
Cape Verde,SUB-SAHARAN AFRICA
Cayman Islands,LATIN AMER. and CARIB
Central African Rep.,SUB-SAHARAN AFRICA
Chad,SUB-SAHARAN AFRICA
Chile,LATIN AMER. and CARIB
China,ASIA (EX. NEAR EAST)
Colombia,LATIN AMER. and CARIB
Comoros,SUB-SAHARAN AFRICA
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA
"Congo, Repub. of the",SUB-SAHARAN AFRICA
Cook Islands,OCEANIA
Costa Rica,LATIN AMER. and CARIB
Cote d'Ivoire,SUB-SAHARAN AFRICA
Croatia,EASTERN EUROPE
Cuba,LATIN AMER. and CARIB
Cyprus,NEAR EAST
Czech Republic,EASTERN EUROPE
Denmark,WESTERN EUROPE
Djibouti,SUB-SAHARAN AFRICA
Dominica,LATIN AMER. and CARIB
Dominican Republic,LATIN AMER. and CARIB
East Timor,ASIA (EX. NEAR EAST)
Ecuador,LATIN AMER. and CARIB
Egypt,NORTHERN AFRICA
El Salvador,LATIN AMER. and CARIB
Equatorial Guinea,SUB-SAHARAN AFRICA
Eritrea,SUB-SAHARAN AFRICA
Estonia,BALTICS
Ethiopia,SUB-SAHARAN AFRICA
Faroe Islands,WESTERN EUROPE
Fiji,OCEANIA
Finland,WESTERN EUROPE
France,WESTERN EUROPE
French Guiana,LATIN AMER. and CARIB
French Polynesia,OCEANIA
Gabon,SUB-SAHARAN AFRICA
"Gambia, The",SUB-SAHARAN AFRICA
Gaza Strip,NEAR EAST
Georgia,C.W. OF IND. STATES
Germany,WESTERN EUROPE
Ghana,SUB-SAHARAN AFRICA
Gibraltar,WESTERN EUROPE
Greece,WESTERN EUROPE
Greenland,NORTHERN AMERICA
Grenada,LATIN AMER. and CARIB
Guadeloupe,LATIN AMER. and CARIB
Guam,OCEANIA
Guatemala,LATIN AMER. and CARIB
Guernsey,WESTERN EUROPE
Guinea,SUB-SAHARAN AFRICA
Guinea-Bissau,SUB-SAHARAN AFRICA
Guyana,LATIN AMER. and CARIB
Haiti,LATIN AMER. and CARIB
Honduras,LATIN AMER. and CARIB
Hong Kong,ASIA (EX. NEAR EAST)
Hungary,EASTERN EUROPE
Iceland,WESTERN EUROPE
India,ASIA (EX. NEAR EAST)
Indonesia,ASIA (EX. NEAR EAST)
Iran,ASIA (EX. NEAR EAST)
Iraq,NEAR EAST
Ireland,WESTERN EUROPE
Isle of Man,WESTERN EUROPE
Israel,NEAR EAST
Italy,WESTERN EUROPE
Jamaica,LATIN AMER. and CARIB
Japan,ASIA (EX. NEAR EAST)
Jersey,WESTERN EUROPE
Jordan,NEAR EAST
Kazakhstan,C.W. OF IND. STATES
Kenya,SUB-SAHARAN AFRICA
Kiribati,OCEANIA
"Korea, North",ASIA (EX. NEAR EAST)
"Korea, South",ASIA (EX. NEAR EAST)
Kuwait,NEAR EAST
Kyrgyzstan,C.W. OF IND. STATES
Laos,ASIA (EX. NEAR EAST)
Latvia,BALTICS
Lebanon,NEAR EAST
Lesotho,SUB-SAHARAN AFRICA
Liberia,SUB-SAHARAN AFRICA
Libya,NORTHERN AFRICA
Liechtenstein,WESTERN EUROPE
Lithuania,BALTICS
Luxembourg,WESTERN EUROPE
Macau,ASIA (EX. NEAR EAST)
Macedonia,EASTERN EUROPE
Madagascar,SUB-SAHARAN AFRICA
Malawi,SUB-SAHARAN AFRICA
Malaysia,ASIA (EX. NEAR EAST)
Maldives,ASIA (EX. NEAR EAST)
Mali,SUB-SAHARAN AFRICA
Malta,WESTERN EUROPE
Marshall Islands,OCEANIA
Martinique,LATIN AMER. and CARIB
Mauritania,SUB-SAHARAN AFRICA
Mauritius,SUB-SAHARAN AFRICA
Mayotte,SUB-SAHARAN AFRICA
Mexico,LATIN AMER. and CARIB
"Micronesia, Fed. St.",OCEANIA
Moldova,C.W. OF IND. STATES
Monaco,WESTERN EUROPE
Mongolia,ASIA (EX. NEAR EAST)
Montserrat,LATIN AMER. and CARIB
Morocco,NORTHERN AFRICA
Mozambique,SUB-SAHARAN AFRICA
Namibia,SUB-SAHARAN AFRICA
Nauru,OCEANIA
Nepal,ASIA (EX. NEAR EAST)
Netherlands,WESTERN EUROPE
Netherlands Antilles,LATIN AMER. and CARIB
New Caledonia,OCEANIA
New Zealand,OCEANIA
Nicaragua,LATIN AMER. and CARIB
Niger,SUB-SAHARAN AFRICA
Nigeria,SUB-SAHARAN AFRICA
N. Mariana Islands,OCEANIA
Norway,WESTERN EUROPE
Oman,NEAR EAST
Pakistan,ASIA (EX. NEAR EAST)
Palau,OCEANIA
Panama,LATIN AMER. and CARIB
Papua New Guinea,OCEANIA
Paraguay,LATIN AMER. and CARIB
Peru,LATIN AMER. and CARIB
Philippines,ASIA (EX. NEAR EAST)
Poland,EASTERN EUROPE
Portugal,WESTERN EUROPE
Puerto Rico,LATIN AMER. and CARIB
Qatar,NEAR EAST
Reunion,SUB-SAHARAN AFRICA
Romania,EASTERN EUROPE
Russia,C.W. OF IND. STATES
Rwanda,SUB-SAHARAN AFRICA
Saint Helena,SUB-SAHARAN AFRICA
Saint Kitts and Nevis,LATIN AMER. and CARIB
Saint Lucia,LATIN AMER. and CARIB
St Pierre and Miquelon,NORTHERN AMERICA
Saint Vincent and the Grenadines,LATIN AMER. and CARIB
Samoa,OCEANIA
San Marino,WESTERN EUROPE
Sao Tome and Principe,SUB-SAHARAN AFRICA
Saudi Arabia,NEAR EAST
Senegal,SUB-SAHARAN AFRICA
Serbia,EASTERN EUROPE
Seychelles,SUB-SAHARAN AFRICA
Sierra Leone,SUB-SAHARAN AFRICA
Singapore,ASIA (EX. NEAR EAST)
Slovakia,EASTERN EUROPE
Slovenia,EASTERN EUROPE
Solomon Islands,OCEANIA
Somalia,SUB-SAHARAN AFRICA
South Africa,SUB-SAHARAN AFRICA
Spain,WESTERN EUROPE
Sri Lanka,ASIA (EX. NEAR EAST)
Sudan,SUB-SAHARAN AFRICA
Suriname,LATIN AMER. and CARIB
Swaziland,SUB-SAHARAN AFRICA
Sweden,WESTERN EUROPE
Switzerland,WESTERN EUROPE
Syria,NEAR EAST
Taiwan,ASIA (EX. NEAR EAST)
Tajikistan,C.W. OF IND. STATES
Tanzania,SUB-SAHARAN AFRICA
Thailand,ASIA (EX. NEAR EAST)
Togo,SUB-SAHARAN AFRICA
Tonga,OCEANIA
Trinidad and Tobago,LATIN AMER. and CARIB
Tunisia,NORTHERN AFRICA
Turkey,NEAR EAST
Turkmenistan,C.W. OF IND. STATES
Turks and Caicos Is,LATIN AMER. and CARIB
Tuvalu,OCEANIA
Uganda,SUB-SAHARAN AFRICA
Ukraine,C.W. OF IND. STATES
United Arab Emirates,NEAR EAST
United Kingdom,WESTERN EUROPE
United States,NORTHERN AMERICA
Uruguay,LATIN AMER. and CARIB
Uzbekistan,C.W. OF IND. STATES
Vanuatu,OCEANIA
Venezuela,LATIN AMER. and CARIB
Vietnam,ASIA (EX. NEAR EAST)
Virgin Islands,LATIN AMER. and CARIB
Wallis and Futuna,OCEANIA
West Bank,NEAR EAST
Western Sahara,NORTHERN AFRICA
Yemen,NEAR EAST
Zambia,SUB-SAHARAN AFRICA
Zimbabwe,SUB-SAHARAN AFRICA
